Label,Body
Network, You have 1 missed call(s) from +17342999521 .Last call: 21-12-2016 20:09 .
Network, "300457
Network, Your single-use eBay PIN is 9013
Network, You have 1 missed call(s) from +911166793800 .Last call: 16-12-2015 10:37 .
Network, You have 1 missed call(s) from +911166795200 .Last call: 03-10-2015 14:42 .
Network, You have 3 missed Call[s] from +911166795700 .Last call: 03-10-2015 14:08 .
Network, You have 1 missed call(s) from +911409540356 .Last call: 12-12-2016 16:04 .
Network, "You have 2 missed Call[s] from +911409683184 .Last call: 14-08-2017 13:24 .Enjoy Hellotunes, Jobs on Phone and Search Anything,call 56789 (tollfree)"
Network, "You have 4 missed Call[s] from +914430921460 .Last call: 09-08-2017 16:15 .Enjoy Hellotunes, Sports updates and Latest NEWS,call 56789 (tollfree)"
Network, "You've 2 missed Call[s] from +914443491453 .Last call: 17-02-2017 14:38 .For Top HelloTunes, Contest or Airtel Radio, call 567892 (tollfree)"
Network, "You have 1 missed call(s) from +914443491453 .Last call: 01-02-2017 18:06 .For Top HelloTunes, Airtel Call Manager or Live aarti,call 567892 (tollfree)"
Network, You have 1 missed call(s) from +914443491453 .Last call: 02-12-2016 15:14 .
Network, You have 1 missed call(s) from +914443491453 .Last call: 13-05-2016 20:21 .
Network, "You have 1 missed call(s) from +914443491460 .Last call: 02-06-2017 10:08 .For Top HelloTunes, Jobs on Phone or Astrology, call 567892 (tollfree)"
Network, "You have 1 missed call(s) from +914443491463 .Last call: 17-04-2017 14:55 .For Top Hellotunes, Airtel Friend Locator or NDTV NEWS,call 567892 (tollfree)"
Network, "You have 1 missed call(s) from +914443491463 .Last call: 17-04-2017 14:41 .For Top Hellotunes, Airtel Friend Locator or NDTV NEWS,call 567892 (tollfree)"
Network, "You have 1 missed call(s) from +914443491463 .Last call: 17-04-2017 14:31 .For Top Hellotunes, Airtel Friend Locator or NDTV NEWS,call 567892 (tollfree)"
Network, You have 1 missed call(s) from +914443932291 .Last call: 26-07-2016 19:03 .
Network, You have 1 missed call(s) from +914443932292 .Last call: 09-11-2015 14:04 .
Network, You have 2 missed Call[s] from +914443932841 .Last call: 09-12-2016 11:05 .
Network, You have 1 missed call(s) from +917010084352 .Last call: 07-12-2016 09:57 .
Network, You have 1 missed call(s) from +917010084352 .Last call: 17-08-2016 09:18 .
Network, "You have 1 missed call(s) from +917092437339 .Last call: 15-02-2017 06:45 .For Top Hellotunes, Airtel Friend Locator or NDTV NEWS,call 567892 (tollfree)"
Network, Hi! This is Ekart Executive Benjimin Rajkumar R_503757. I will be available near Building Entrance till 01:45 pm. Request you to kindly collect the shipment(s).
Network, Join hike today and get a festive bonus of Rs. 51 free talktime on joining. It is 5 times faster with 10 new features. 100% Made in India! http://hike.in
Network, Join hike today and get a festive bonus of Rs. 51 free talktime on joining. It is 5 times faster with 10 new features. 100% Made in India! http://hike.in
Network, Hai vodafone new number 9843029844 is available contact 9626422833
Network, You have 1 missed call(s) from +917871789922 .Last call: 21-01-2016 20:12 .
Network, You have 1 missed call(s) from +917871789922 .Last call: 01-10-2015 08:58 .
Network, "You have 1 missed call(s) from +917904439016 .Last call: 31-01-2017 10:42 .For Top HelloTunes, Jobs on Phone or Astrology, call 567892 (tollfree)"
Network, Join hike today and get a festive bonus of Rs. 51 free talktime on joining. It is 5 times faster with 10 new features. 100% Made in India! http://hike.in
Network, You have 1 missed call(s) from +918695404946 .Last call: 26-10-2016 20:51 .
Network, You have 1 missed call(s) from +918754466309 .Last call: 18-11-2015 09:44 .
Network, You have 1 missed call(s) from +918754466309 .Last call: 09-11-2015 20:41 .
Network, You have 1 missed call(s) from +918807237761 .Last call: 09-11-2015 14:08 .
Network, " +918870782800 is now available to take calls. To CALL BACK dial +918870782800.Airtel Call Manager, HelloTunes or for Contest,call 56789 (tollfree)"
Network, " +918870782800 is now available to take calls. To CALL BACK dial +918870782800.Airtel Call Manager, HelloTunes or for Contest,call 56789 (tollfree)"
Network, " +918870782800 is now available to take calls. To CALL BACK dial +918870782800.Enjoy Hellotunes, Sports updates and Latest NEWS,call 56789 (tollfree)"
Network, " +918870782800 is now available to take calls. To CALL BACK dial +918870782800.Enjoy Hellotunes, Jobs on Phone and Search Anything,call 56789 (tollfree)"
Network, " +918870782800 is now available to take calls. To CALL BACK dial +918870782800.Airtel Call Manager, HelloTunes or for Contest,call 56789 (tollfree)"
Network, You have 1 missed call(s) from +918870782800 .Last call: 03-06-2017 12:44 .The big match IND v PAK! Dial 53776 for live alerts
Network, " +918870782800 is now available to take calls. To CALL BACK dial +918870782800.For Top HelloTunes, Airtel Call Manager or Live aarti,call 567892 (tollfree)"
Network, "+918870782800 tried calling you, To call back please dial +918870782800."
Network,  +918870782800 is now available to take calls. To CALL BACK dial +918870782800
Network,  +918870782800 is now available to take calls. To CALL BACK dial +918870782800
Network,  +918870782800 is now available to take calls. To CALL BACK dial +918870782800
Network,  +918870782800 is now available to take calls. To CALL BACK dial +918870782800
Network,  +918870782800 is now available to take calls. To CALL BACK dial +918870782800
Network,  +918870782800 is now available to take calls. To CALL BACK dial +918870782800
Network,  +918870782800 is now available to take calls. To CALL BACK dial +918870782800
Network,  +918870782800 is now available to take calls. To CALL BACK dial +918870782800
Network,  +918870782800 is now available to take calls. To CALL BACK dial +918870782800
Network,  +918870782800 is now available to take calls. To CALL BACK dial +918870782800
